what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.1.0.R200906100410,"org.eclipse.epp.usagedata.recording",1559816129946
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1559816129946
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1559816129962
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1559816129962
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1559816129962
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1559816129962
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1559816129962
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1559816129962
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1559816129962
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1559816129977
os,sysinfo,,,"win32",1559816129977
arch,sysinfo,,,"x86",1559816129977
ws,sysinfo,,,"win32",1559816129977
locale,sysinfo,,,"en_US",1559816129977
processors,sysinfo,,,"2",1559816129977
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1559816129977
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1559816129977
java.specification.name,sysinfo,,,"Java Platform API Specification",1559816129977
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1559816129977
java.specification.version,sysinfo,,,"1.6",1559816129977
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1559816129977
java.version,sysinfo,,,"1.6.0_27",1559816129977
java.vm.info,sysinfo,,,"mixed mode, sharing",1559816129977
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1559816129977
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1559816129977
